label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11
3	1684 m/(s^2)	-0.3984	Bioinformatics	chicken	-0.1008	0.5311	0.0901	480	1104	1.1523	0.7862	-0.0635
3	-366 m/(s^2)	0.9809	Bioinformatics	CHICKEN	0.6009	0.8887	-1.0602	842	233	0.747	-0.7434	-1.3139
1	-107 m/(s^2)	-0.0015	Computer Science	cat, bird	0.8185	-0.0479	1.1881	228	1113	-0.5013	-0.0948	0.4406
1	1135 m/(s^2)	0.2808	Computer Science	cat	-0.25	-0.957	-0.668	880	409	0.573	2.2039	-1.0238
1	1081 m/(s^2)	-0.0283	Applied Mathematics	dog, bird	-0.4945	0.8244		1712	-1009	1.9058	0.054	0.3282
1	-2121 m/(s^2)	0.4933	Computer Science	bird	-0.1536	0.2744	-0.0787	1321	812	0.6016	0.9394	0.3009
4	305 m/(s^2)	-0.0015	Computer Game Design	hamster	1.2153	1.5677	-0.5648	-268	-603	-0.9018	-0.4312	-0.987
1	2083 m/(s^2)	-0.2861	Applied Mathematics	cat, bird	0.1767	2.8571	-0.2816	1422	-845	-0.9156	2.0871	-1.3587
2	1720 m/(s^2)	0.2506	Human Computer Interaction	reptile	-0.3951	-0.4979	-0.023	1322	-52	0.9238	-0.0128	0.9915
4	1438 m/(s^2)	-0.0424	Applied Mathematics	hamster	0.009	1.4945	0.7531	707	24	1.3643	0.8795	1.2706
1	875 m/(s^2)	0.8427	Applied Mathematics	dog	1.4967	0.7164	0.8201	991	327	-0.6443	0.6454	0.8806
3	-1106 m/(s^2)	0.0342	Bioinformatics	chicken	0.682	1.0122	0.2477	634	70	1.5728	0.2717	-0.4568
2	769 m/(s^2)	0.6517	Human Computer Interaction	rat, ferret	0.4079	0.5678	0.8025	-315	937	1.9554	0.6198	-0.4683
2	-279 m/(s^2)	0.9234	Human Computer Interaction	fish, pig, rat	-0.1251	0.4224	0.81	1136	933	-0.1866	0.6504	0.7119
1	455 m/(s^2)	-0.3025	Computer Science	cat, bird	0.1389	1.8487	0.4343	302	-481	1.2398		0.4947
3	796 m/(s^2)	0.3246	Electrical Engineering	chicken	-0.396		1.3392	1757	199	1.1037	1.3533	-1.08
0	1248 m/(s^2)	1.6118	Data Science	reptile	-0.7927	0.8163	-0.055	723	-736	0.7483	0.779	1.3815
2	1032 m/(s^2)	1.8643	Biotechnology	dog, cat	-0.8292	-0.4312	0.2966	-244	881	1.3563	0.0493	0.4516
2	668 m/(s^2)	0.8345	Technology and Information Management	Pig, Fish	-0.0431	0.4244	0.9552	363	861	0.4134	-1.4686	3.1107
1	690 m/(s^2)	0.731	Computer Science	bird, cat	-0.7229	0.0901	-0.1214	1390	-758	0.5245	0.7491	-0.2713
4	1168 m/(s^2)	-0.8847	Games and Playable Media	hamster	0.4677	1.464	-0.0171	185	1278	1.0077	0.1294	1.2272
1	1048 m/(s^2)	-0.4381	Applied Mathematics	cat	-1.0953	-0.5428	0.7963	-1165	395	0.9109	1.5865	-0.0251
4	1011 m/(s^2)	-0.8316	Natural Language Processing	hamster	-0.1392	1.2797	0.2683	1058	747	-0.8556	1.1313	0.7755
3	120 m/(s^2)	0.0367	Bioinformatics	chicken	0.3472	1.0688	0.2662	1128	2433	-0.0858	-1.1265	1.1991
1	279 m/(s^2)	0.9873	Applied Mathematics	cat, dog	-0.431	0.3821	0.6854	650	156	-0.1666	0.5528	-0.7641
2	714 m/(s^2)	2.0731	Technology and Information Management	ferret, pig, rat	0.4811	-0.7512	1.4947	-186	-740	2.1366	-0.1867	-0.0794
4		0.7365	Games and Playable Media	hamster	1.8621	2.3592	-0.3279	2174	-2665	-0.8529	1.892	0.4914
2	1249 m/(s^2)	0.6265	Technology and Information Management	rat, pig	2.9981	-0.1399	-0.0648	1049	-225	0.5908	-0.4779	0.7375
2	393 m/(s^2)	1.1063	bIOTECHNOLOGY	bird	-0.4343	0.6038	1.0212	1110	13	0.5159	-1.1495	1.5657
1	-6 m/(s^2)	-0.1069	Applied Mathematics	bird	-0.7556	1.383	0.0506	626	1438	0.4738	1.7503	0.3757
4	1405 m/(s^2)	1.2592	Computer Game Design	hamster	-0.697	0.7994	0.1562	198	-187	-0.0073	0.8674	1.8522
2	1679 m/(s^2)	-0.934	Technology and Information Management	pig, fish	N/A	0.8809	0.9898	-243	-499	-0.6497	-0.8749	-1.8994
4	1315 m/(s^2)	-0.6779	Computer Game Design	hamster	0.2897	0.7364	0.403	706	628	-0.0302	0.4208	1.4159
0	1249 m/(s^2)	0.178	Robotics Engineering	Reptile	1.6396	0.642	-0.0572	-612	925	0.4695	2.0947	n/a
0	-141 m/(s^2)	0.8531	Data Science	reptile	1.5415	0.5108	-0.351	-174	420	0.2824	-0.1293	0.9783
0	414 m/(s^2)	-0.2454	Bioengineering	reptile	1.5009	0.6901	-0.4181	-1105	413	0.797	1.0614	-0.534
3	NULL	0.7321	Bioinformatics	chicken	1.8554	1.424	1.0495	1229	-692	0.6695	0.3328	-0.4413
0	896 m/(s^2)	-0.0923	Statistics	reptile	-0.9481	0.6335	-1.34	1056	189	0.2139	-1.0056	-0.1291
4	1775 m/(s^2)	0.0927	Games and Playable Media	hamster	1.2944	2.0939	0.6329	2424	1095	-0.1041	-0.1399	0.1391
3	855 m/(s^2)	1.0459	nATURAL lANGUAGE pROCESSING	rabbit	1.581	-0.717	-0.0043	578	-757	0.1885	-0.3178	-0.4326
3	312 m/(s^2)	0.7835	Bioinformatics	rabbit	1.383	1.6111	-0.5364	319	930	1.1032	0.8706	0.0726
1	775 m/(s^2)	-0.083	Applied Mathematics	bird	0.7688	-0.4943	-0.2488	162	-700	1.0686	0.6378	1.1851
1	-797 m/(s^2)	0.0981	Applied Mathematics	bird	-0.6043	1.0239	0.2314	2272	475	1.0214	0.5108	0.5517
4	765 m/(s^2)	0.8024	Computer Game Design	hamster	-0.3908	2.1854	0.6872	924	1014	0.5808	1.4147	-0.2238
4	177 m/(s^2)	1.1114	Computer Game Design	chicken	0.5959	-0.0694	0.5118	351	467	-0.0665	0.667	1.5316
0	685 m/(s^2)	-0.3439	Robotics Engineering	reptile	0.453	2.4186	-1.173	1323	-144	0.7446	0.2638	2.4454
3	-679 m/(s^2)	1.2104	Electrical Engineering	chicken	-0.2896	-0.2105	-0.2031	1015	651	1.4455	0.7192	1.116
0	-187 m/(s^2)	1.5712	Data Science	reptile	0.1231	1.2074	-0.549	1212	-406	0.4583	1.018	-0.9313
4	2830 m/(s^2)	0.1344	cOMPUTATIONAL mEDIA	hamster	-0.2405	-0.0684	0.0439	1955	670	0.2975	-0.2648	3.646
4	1649 m/(s^2)	-0.0727	Games and Playable Media	guinea pig	0.2258	0.7704	1.7248	841	1425	0.1756	-0.459	0.8968
2	1153 m/(s^2)	0.6099	Biotechnology	fish, pig, ferret	-0.1674	0.1487	-0.0951	-315	2280	1.215	1.1858	-1.5723
1	-480 m/(s^2)	2.3124	Applied Mathematics	bird, dog	0.3344	0.594	0.5641	-147	-259	-0.1156	0.8684	-0.1319
4	1085 m/(s^2)	-0.1344	Games and Playable Media	guinea pig	0.3814	1.8985	-0.8984	-654	1858	1.0289	0.8091	-0.0694
4	224 m/(s^2)	0.6407	games and playable media	hamster	0.676	1.4417	0.0299	481	77	0.666	1.1697	1.2096
1	2010 m/(s^2)	0.3785	Computer Science	cat, bird	0.2939	1.9937	-1.0287	362	-491	0.4375	0.8301	0.7564
4	-48 m/(s^2)	0.8691	Computational Media	hamster	0.0119	0.6897	0.7023	-1115	2796	-1.1945	1.3718	-0.6446
3	985 m/(s^2)	1.0841	Computational Media	rabbit	0.9895	1.9897	0.883	-703	100	0.1654	-1.7085	0.7248
2	841 m/(s^2)	0.5651	Technology And Information Management	ferret, pig, fish	1.3722	-0.69	0.0443	904	-330	1.0471	-0.33	0.5264
2	-975 m/(s^2)	1.3567	Technology and Information Management	fish, pig, ferret	-0.5866	-0.0123	0.8606	2320	-965	1.5714	-0.3117	0.1154
3	-33 m/(s^2)	1.2654	Bioinformatics	rabbit	0.2462	-0.8508		-729	-458	-0.4482	0.9982	1.7021
1	3575 m/(s^2)	1.4957	Games and Playable Media	dog	1.2672	-0.1277	-0.3227	276	-1879	1.146	0.9362	0.9929
0	1014 m/(s^2)	1.1122	Data Science	reptile	0.5558	0.9573	0.5708	2696	-1525	-0.8253	1.8914	0.2485
2	17 m/(s^2)	0.8547	Biotechnology	guinea pig	0.359	1.4604	0.5189	622	-262	0.5242	1.2965	2.9615
3	811 m/(s^2)	0.3839	Electrical Engineering	rabbit	0.4042	0.2427	0.4269	-297	1613	0.3458	-1.2181	1.8765
0	-318 m/(s^2)	0.3084	Bioengineering	reptile	0.2573	0.2324	1.3924	329	26	0.3048	1.6441	1.3914
4	403 m/(s^2)	0.7876	Games and Playable Media	guinea pig	0.6266	-1.6923	-0.9133	-385	2201	0.4235	1.7829	1.4301
3	-121 m/(s^2)	0.459	Bioinformatics	hamster	-0.9053	-0.1618	0.2532	1011	1426	1.5505	0.5138	-0.5933
4	606 m/(s^2)	0.6922	Games and Playable Media	hamster	-0.2544	1.1515	0.2283	None	1143	-0.4637	0.7185	1.6975
3	1110 m/(s^2)	1.1606	Bioinformatics	chicken	-0.2957	-0.399	0.5956	945	-1149	1.1359	0.1415	1.4452
1	653 m/(s^2)	0.4833	Applied Mathematics	bird, cat	-0.8183	1.6693	1.082	-180	1685	0.847	-0.1447	1.4962
2	-302 m/(s^2)	1.4816	Technology and Information Management	pig, fish	-0.3339	0.9207	-0.2161	1515	1271	-1.0268	n/a	2.7028
2	874 m/(s^2)	0.764	Biotechnology	rat, pig, fish	-0.4244	-0.0301	-0.5504	-104	703	0.5155	1.176	1.8417
0	-499 m/(s^2)	0.4854	Computer Engineering	rabbit	1.022	0.0663	0.771	456	-2702	-0.6348	1.7014	0.8587
0	1082 m/(s^2)	0.3971	Bioengineering	reptile	-1.4276	0.8855	-0.7653	-287	?	-0.0127	-0.115	-0.1879
3	256 m/(s^2)	0.0289	Electrical Engineering	chicken	-0.241	0.2287	-0.104	-1057	-319	0.1093	0.9858	1.1263
4	597 m/(s^2)	-0.5757	Computer Game Design	hamster	0.554	-0.2566	0.2783	-1480	2987	1.1367	1.841	0.983
1	2113 m/(s^2)	0.6938	Applied Mathematics	bird, cat	0.935	0.3292	-0.2036	537	606	-0.4449	1.1872	-0.0979
1	-506 m/(s^2)	0.2679	Applied Mathematics	dog	0.4951	1.9308	-0.2346	1188	-720	0.4022	0.6034	0.7078
0	1134 m/(s^2)	0.1957	Statistics	dog, cat	0.2053	-1.0467	0.6228	574	-243	0.1758	-0.4835	0.5382
4	1549 m/(s^2)	0.789	Computer Game Design	HAMSTER	2.2835	0.4836	0.9583	2011	692	1.7016	1.7695	-0.1459
3	1355 m/(s^2)	0.6999	Bioinformatics	rabbit	-0.4747	-0.5666	0.1653	879	-415	1.188	0.1985	0.9317
2	1742 m/(s^2)	0.9859	Biotechnology	pig	-0.5781	-0.0887	0.7393	-183	-916	1.0781	-0.0056	0.5545
2	856 m/(s^2)	0.5079	Biotechnology	pig, ferret	1.2165	-0.1325	0.1978	949	2659	2.4879	0.4308	1.2322
2	1057 m/(s^2)	0.5356	Biotechnology	reptile	-0.0642	0.3725	1.182	968	955	0.8313	1.0734	-0.2003
4	875 m/(s^2)	0.3189	Computational Media	guinea pig	1.7317	0.2231	-0.2321	-271	-147	0.4107	1.861	1.6453
4	-1042 m/(s^2)	0.6356	Computer Game Design	hamster	-0.5046	0.0465	0.2899	-653	964	0.1468	0.0763	0.4043
1	1905 m/(s^2)	-0.0437	Computer Science	cat, dog	-0.9969	-0.102	-0.0389	2794	1306	1.9481	1.1526	-1.8801
1	229 m/(s^2)	1.5257	Computer Science	dog, bird	0.9796	0.4105	0.1647	1210	-2084	-0.5454	0.884	1.2367
0	405 m/(s^2)	0.6322	Bioengineering	reptile	-0.7958	0.8843	1.1126	271	-192	1.3865	-0.0995	2.053
4	605 m/(s^2)	-0.2971	Games and Playable Media	hamster	0.945	0.6922	-0.0795	-66	134	0.9776	0.9622	0.4121
3	483 m/(s^2)	1.608	Natural Language Processing	chicken	0.5313	0.3953	-0.6899	-70	906	-0.4037	1.2809	0.4623
4	1615 m/(s^2)	-0.7139	Computer Game Design	guinea pig	0.413	-0.0027	0.3192	160	2096	0.673	0.0039	1.5578
0	2408 m/(s^2)	1.8715	Computer Engineering	reptile	0.8902	0.7228	0.9874	142	1920	0.3942	-0.2073	1.9501
4	1165 m/(s^2)	0.7848	Computer Game Design	hamster	1.4072	0.3644	None	-88	-958	-0.0183	0.4672	-0.9129
0	-1583 m/(s^2)	1.3524	Computer Engineering	reptile	1.107	0.4547	-0.0466	99	-640	-0.0233	0.1906	-0.7994
2	257 m/(s^2)	0.0671	Biotechnology	FERRET	2.5714	0.07	1.6269	1315	1208	-0.2958	-0.7258	2.2729
4	1239 m/(s^2)	0.9035	Computational Media	hamster	-0.3567	0.7217	0.9332	1279	461	0.4746	0.8141	0.6393
2	41 m/(s^2)	0.2434	biotechnology	fish	1.2238	-0.4562		1612	52	-0.2258	-1.3975	1.9395
2	2179 m/(s^2)	1.0395	Biotechnology	pig	-0.3214	1.735	1.4662	423	2061	0.946	0.5237	2.6917
4	650 m/(s^2)	-0.1906	Games and Playable Media	guinea pig	0.7898	0.2512	-0.6046	47	387	0.4237	0.8856	-0.4228
1	-213 m/(s^2)	0.5971	Applied Mathematics	dog	1.0278	1.2497	-1.2907	1459	429	0.1632	-0.1518	-0.0625
3	-6 m/(s^2)	0.0662	Bioinformatics	fish, pig, ferret	-0.9924	0.5865	-0.9428	278	238	0.1825	0.6501	0.314
4	1347 m/(s^2)	0.1577	Computational Media	pig, rat, fish	-1.3817	-0.371	0.2634	345	1381	-0.5146	0.4783	2.1
3	368 m/(s^2)	1.0876	Electrical Engineering	chicken	0.6969	1.4242	0.7094	637	-915	1.5462	-0.0205	-0.3071
0	988 m/(s^2)	0.2036	Bioengineering	reptile	2.344	1.0794	0.4303	1533	-499	1.5466	1.2275	-0.6831
0	232 m/(s^2)	1.0336	Computer Engineering	reptile	-0.2897	-0.3438	0.6574	914	1137	-0.0153	0.7682	1.7801
3	1725 m/(s^2)	0.6226	bioinformatics	rabbit	-0.9601	0.7201	0.4552	1067	1136	0.3527	1.5095	0.2913
3	-86 m/(s^2)	0.294	n/a	chicken	1.2779	0.1295	1.3866	967	-937	-0.1388	-0.1577	0.9328
0	658 m/(s^2)	0.069	Statistics	reptile	1.8374		-0.1527	725	480	0.2953	0.6374	1.7097
4	-537 m/(s^2)	0.5005	Games and Playable Media	guinea pig	1.2587	-1.06	-0.803	-211	605	1.2145	0.7322	1.2111
3	-877 m/(s^2)	0.2573	Natural Language Processing	rabbit	-0.1216	-0.8458	-0.0271	314	437	1.2031	-0.0692	-1.8091
2	1090 m/(s^2)	0.4615	Technology and Information Management	ferret	0.5896	-1.6911	0.1427	-1146	1280	-0.3591	0.838	0.1072
4	-612 m/(s^2)	0.196	Computer Game Design	hamster	-0.1354	0.1491	0.1268	-917	2569	1.4173	-0.8103	-0.0922
2	836 m/(s^2)	1.4291	Technology and Information Management	GUINEA PIG	0.6497	-1.643	1.9956	-69	1739	-0.1063	0.0912	1.0167
2	1462 m/(s^2)	0.8472	Technology and Information Management	fish, ferret, pig	1.0397	0.623	0.6325	389	1687	0.933	0.2301	0.0141
0	168 m/(s^2)		Technology and Information Management	reptile	0.6732	-0.6558	-0.4307	-226	-275	1.4083	0.6935	0.5595
1	114 m/(s^2)	0.5161	cOMPUTER sCIENCE	cat	1.0617	1.3246	-0.4049	963	702	None	-0.0691	-0.177
0	-661 m/(s^2)	0.8986	Statistics	reptile	0.7442	-0.0765	0.1492	-306	-386	-0.2682		1.8502
2	1683 m/(s^2)	0.7317	Biotechnology	fish	1.0871	0.2265	0.9867	1070	1351	0.4882	0.3299	-0.2207
4	484 m/(s^2)	-0.5775	Computer Game Design	hamster	-1.0471	2.6144	0.891	1330	867	-0.2751	-0.1441	None
3	-1282 m/(s^2)	0.0551	Computational Media	rabbit	1.6677	-1.6219	1.4877	1951	-486	0.4413	-0.245	0.3928
3	1029 m/(s^2)	1.0453	Bioinformatics	rabbit	0.4037	0.4118	-0.8928	1078	-1183	-0.0747	-0.7364	0.1104
4	1903 m/(s^2)	0.593	Games and Playable Media	GUINEA PIG	1.9339	0.0542	-0.5635		127	0.5001	-0.0715	-0.2257
4	1304 m/(s^2)	0.6	None	hamster	-0.2562	0.923	0.3995	233	319	-0.1907	1.3939	0.1191
3	-1597 m/(s^2)	0.4357	Natural Language Processing	rabbit	0.927	0.0089	-0.5886	1400	902	0.1075	1.0041	0.2221
0	1131 m/(s^2)	0.068	Computer Engineering	reptile	0.2966	-1.1703	-0.8919	-368	-183	-1.5843	1.1299	1.7402
4	720 m/(s^2)	0.4398	Computer Game Design	hamster	1.4674	1.6564	0.8668	842	727	-0.1549	0.1794	1.2221
4	853 m/(s^2)	None	Computer Game Design	guinea pig	0.2744	1.8571	-0.0185	932	572	-0.1206	2.3621	1.0079
2	751 m/(s^2)	0.5714	Technology and Information Management	RAT	0.6842	0.8204	0.6187	725	1958	1.932	-0.7331	-0.0636
4	175 m/(s^2)	0.3594	Games and Playable Media	guinea pig	0.7908	-1.0274	0.7764	768	312	-1.2877	0.0659	1.1201
1	1782 m/(s^2)	0.1427	Computer Science	bird	-0.9391	0.3452	-0.8445	990	-1138	0.0962	0.2209	2.1084
0	1099 m/(s^2)	-0.1474	Data Science	reptile	0.014	2.0636	-1.1735	775	63	-1.5035	2.2625	0.1908
3	2007 m/(s^2)	1.3559	Natural Language Processing	chicken	-0.3969	1.7136	-0.1654	1323	-837	0.407	0.165	0.0702
0	-302 m/(s^2)	-0.7536	Statistics	reptile	-0.1863	-0.936	-0.162	172	-942	0.4737	1.9752	1.6634
3	1234 m/(s^2)	0.9298	Computer Game Design	hamster	0.5606	-1.104	-0.879	1411	-705	1.0386	0.3471	0.2569
3	-269 m/(s^2)	1.3181	Electrical Engineering	chicken	0.317	0.3436	?	-474	696	0.0425	-0.0982	0.396
0	776 m/(s^2)	-0.3751	Robotics Engineering	REPTILE	0.7083	1.0449	0.3452	1100	-771	-0.7364	2.3195	0.4662
0	1586 m/(s^2)	0.2696	Bioengineering	reptile	0.6665	0.985	0.8043	138	-2601	0.3845	-0.7583	0.2863
4	975 m/(s^2)	-0.0263	Computer Game Design	hamster	0.22	0.3613	-0.6649	362	2828	1.0816	0.6402	-0.019
2	910 m/(s^2)	-0.0867	Biotechnology	rat, fish, ferret	0.2447	-0.0787	0.5896	891	2429	2.4541	-0.0	-0.9543
4	399 m/(s^2)	-0.0536	Games and Playable Media	hamster	1.6935	0.6583	0.3279	-613	-577	1.6159	1.8106	2.0161
0	139 m/(s^2)	0.0828	Games and Playable Media	reptile	1.6375	0.2401	-0.5567	211	-168	-0.4348	1.2048	0.8786
4	447 m/(s^2)	0.1066	Games and Playable Media	guinea pig	1.5031	-0.5779	-0.6049	344	580	0.3408	1.6786	-0.6731
3	-485 m/(s^2)	0.1748	Electrical Engineering	chicken	1.3827	-0.2052	-0.5399	1598	1201	0.5348	-0.1814	0.0624
4	-349 m/(s^2)	-0.54	Games and Playable Media	hamster	-1.712	1.5128	n/a	-242	581	1.0066	-0.9583	0.2353
2	982 m/(s^2)	0.659	Technology and Information Management	pig, fish, ferret	1.8345	-1.4767	-0.3029	1663	338	0.0528	-0.0868	0.0902
1	511 m/(s^2)	-0.6266	Applied Mathematics	bird, dog	0.6611	0.6219	-0.2751	848	1423	0.7564	-0.0687	0.4302
0	525 m/(s^2)	-0.2198	Statistics	reptile	1.9677	1.4999	0.3604	741	2887	0.0014	2.0714	1.6417
